uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"8f09e152-8988-48ba-818c-92b7addcc6f4","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02685",,"sapling","Live",1.9,10,2.0,,,,,,,,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"e82d318a-1955-43ce-8cb2-8ef98e1cbf16","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02670",,"small tree","Live",1.3,130,2.8,,,,,,,,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"322144a6-94a3-4f55-98a8-87b0e0243a23","SCBI_046.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_046",,"NEON.PLA.D02.SCBI.02629",,"sapling","Live",1.4,10,1.0,,,,,,,,,,,,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"16ebe287-a4cd-449b-837d-32176118ac89","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02677",,"sapling","Live",1.8,10,2.2,,,,,,,,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"f32ec793-b025-4923-b641-30911ac1724c","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02631",,"single bole tree","Live",31.1,130,19.7,,,,,,,,,,,,,"otzZ09yzQEzFIIPcpdl9PUakADElVpVu","TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","legacyData"
"882f04ba-677e-40e1-addd-0fc95f156480","SCBI_066.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_066",,"NEON.PLA.D02.SCBI.02636",,"single bole tree","Live",50.0,130,27.5,,,,,,,,,,,,,"otzZ09yzQEzFIIPcpdl9PUakADElVpVu","TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","legacyData"
"9ea6ab62-e3b4-4ba4-a3e8-c58430fe44b7","SCBI_049.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_049",,"NEON.PLA.D02.SCBI.02537",,"single bole tree","Live,  other damage",17.3,130,16.8,,,,,,"Mostly shaded",,,,,,,"vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","legacyData"
"c0e9fc19-a560-41b5-aea4-f007abcc1e95","SCBI_049.basePlot.vst","2015-09-25","vst_SCBI_2015","D02","SCBI","SCBI_049",,"NEON.PLA.D02.SCBI.02557",,"liana","Live",5.0,130,,,,,,,,,,,,,,"TvKK6huzmJvQSYcm7w44HKEZTya+DeuysFTWAgNPmiU=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"35b7da17-cee8-4083-bf5b-c4106249224b","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00839",,"single shrub","Live",1.6,130,2.0,,,,2.9,2.6,,"inverted cone",2.3,10,11.00,9.00,"2 boles; b1","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"bddd0da6-0917-405a-9a2b-141ac54540d6","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00792",,"small tree","Live,  other damage",1.1,130,2.0,,,,,,,,,,,,,"eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"354f34ad-7243-46f7-8b2b-cf916e99c8cb","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00747",,"single bole tree","Live",19.2,130,21.0,,,,,,"Mostly shaded",,,,,,,"eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","P4lrVtPFrkPuBLuswPEC3A9oL4a4uI2Jk9QEmD6BXjg=","legacyData"
"1682f99f-7768-42d4-b5b1-bdbae1d21dbe","SCBI_062.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_062",,"NEON.PLA.D02.SCBI.00472",,"single bole tree","Live",26.9,130,9.4,,,,,,,,,,,,,"MAihFV9ECLSNBg1HSBddqS0ZUZa4DTjtYmYfVx1TOr0=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"830ec9e8-4b2f-4560-a612-433d39812850","SCBI_062.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_062",,"NEON.PLA.D02.SCBI.10972",,"liana","Live",4.6,130,,,,,,,,,,,,,,"MAihFV9ECLSNBg1HSBddqS0ZUZa4DTjtYmYfVx1TOr0=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"bdd53542-2719-44ce-b953-e3e72c5e9848","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00807",,"small shrub","Live",1.5,10,1.5,,,,1.4,1.2,,"inverted cone",,,5.00,2.00,"2 boles; b1","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"100b0bd2-c8f5-4642-89ac-d98b8da954a9","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00732",,"single bole tree","Live",45.2,130,33.9,,,,,,"Partially shaded",,,,,,"error VD1 12.2 changed to 32.2 VD2 -0.6 changed to -1.7","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","P4lrVtPFrkPuBLuswPEC3A9oL4a4uI2Jk9QEmD6BXjg=","legacyData"
"769e07a7-5e11-46b7-bb0e-fb0e7a3c9f96","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00812",,"sapling","Live",1.0,10,1.8,,,,,,,,,,,,"field error measured as sap recorded as sms","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"eff79283-cf72-4e1e-bb54-2bc96fcc840a","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00781",,"small tree","Live",1.1,130,1.9,,,,,,,,,,,,"field error measured as smt recorded as sms","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"722037d0-a346-4c4f-8d92-4648d97af934","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00816",,"sapling","Live",1.5,10,1.9,,,,,,,,,,,,,"eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"e9d9a9bc-99e2-48f9-a3d5-e0c8f0028fb5","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00749",,"single bole tree","Live",81.7,130,34.8,,,,,,"Partially shaded",,,,,,,"eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","P4lrVtPFrkPuBLuswPEC3A9oL4a4uI2Jk9QEmD6BXjg=","legacyData"
"f155c00c-8961-4e34-9bad-905328751793","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00835",,"single shrub","Live",1.5,130,2.0,,,,2.5,2.3,,"inverted cone",2.4,10,11.00,8.00,,"eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
"95d57fe1-34bf-4cef-8e6e-541a1fb36594","SCBI_063.basePlot.vst","2015-09-29","vst_SCBI_2015","D02","SCBI","SCBI_063",,"NEON.PLA.D02.SCBI.00845",,"small shrub","Live",1.7,10,1.6,,,,1.4,1.3,,"inverted cone",,,3.00,1.00,"2 boles; b1","eKRxmJ+OahVw4L1aaFLQ5F4jScv5L+cZfiRMaoN16dA=","otzZ09yzQEzFIIPcpdl9PUakADElVpVu","legacyData"
