"year","sp","position","tree","resist.value","rp","PLA_dry_percent","LMA_g_per_m2","Chl_m2_per_g","mean_TLP_Mpa","WD_g_per_cm3","height.ln.m","height.m","position_all"
"1999","quru","canopy","60116",1.08,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.10770493061423,60.8070010148869,"co-dominant"
"1966","quru","canopy","80235",0.6,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.43677486135376,84.5019711536987,"co-dominant"
"1977","quru","canopy","80235",0.99,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.44144842151876,84.8978204922795,"co-dominant"
"1999","quru","canopy","80235",0.86,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.44804322142716,85.4595548580757,"co-dominant"
"1977","quru","canopy","110331",1.1,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,3.73920063406577,42.0643519121872,"co-dominant"
"1999","quru","canopy","110331",0.82,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,3.75758251294446,42.8447241143657,"co-dominant"
"1966","quru","canopy","70126",0.88,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.44093205423009,84.8539933513234,"co-dominant"
"1977","quru","canopy","70126",1.13,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.44467931209774,85.1725596477669,"co-dominant"
"1999","quru","canopy","70126",0.87,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.45098671526672,85.7114751123001,"co-dominant"
"1966","quru","canopy","70096",0.78,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.44774159984018,85.4337822984922,"co-dominant"
"1977","quru","canopy","70096",0.75,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.4541863110629,85.9861563879462,"co-dominant"
"1999","quru","canopy","70096",0.82,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.46170421316708,86.6350279141712,"co-dominant"
"1966","quru","canopy","80316",0.85,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.44053752594774,84.8205226540783,"dominant"
