"year","tree","resist.value","sp","rp","PLA_dry_percent","LMA_g_per_m2","mean_TLP_Mpa","WD_g_per_cm3","elev.m","dbh.ln.cm","height.ln.m","position_all","TWI","TWI.ln"
"1977","50246",-91.06,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,3.13907296626634,2.85428484434299,"co-dominant",5.70175582913746,1.74077416760542
"1999","50246",-108.37,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,3.19932658709369,2.89296766891415,"co-dominant",5.70175582913746,1.74077416760542
"1966","111094",-615.31,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.34645921588449,2.98742681659784,"co-dominant",5.22032663457947,1.65255997361112
"1977","111094",29.3,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.40448199019299,3.0246774377039,"co-dominant",5.22032663457947,1.65255997361112
"1999","111094",132.16,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.50848035414026,3.09144438735805,"co-dominant",5.22032663457947,1.65255997361112
"1966","152053",16.35,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,2.81387320745727,2.64550659918757,"co-dominant",4.36992703538662,1.47474631226024
"1977","152053",-23.01,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,2.91332583394531,2.70935518539289,"co-dominant",4.36992703538662,1.47474631226024
"1999","152053",51.61,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,3.01673559096779,2.77574424940132,"co-dominant",4.36992703538662,1.47474631226024
"1966","70269",-263.47,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,3.58440084666879,3.14018534356136,"co-dominant",5.05109935435226,1.61960591352652
"1977","70269",-431.84,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,3.63072051722279,3.16992257205703,"co-dominant",5.05109935435226,1.61960591352652
"1999","70269",-228.98,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,3.68740878081673,3.20631643728434,"co-dominant",5.05109935435226,1.61960591352652
